id,title,date,location
61912,mein Italien,14.01.2024,"Berlin, "
61913,mein Italien,15.01.2024,"Berlin, "
56109,mein Italien,18.01.2024,"Lüneburg, "
56032,mein Italien,19.01.2024,"Neumünster, "
56033,mein Italien,20.01.2024,"Lübeck, "
64956,Till Reiners' Happy Hour,22.01.2024,"Berlin, "
61701,mein Italien,27.01.2024,"Karlsruhe, "
58665,mein Italien,28.01.2024,"Ulm, "
58328,mein Italien,02.02.2024,"Rostock, "
58888,mein Italien,03.02.2024,"Halle, "
59057,mein Italien,04.02.2024,"Magdeburg, "
55561,Schund & Asche,16.02.2024,"Münster, "
57909,Schund & Asche,17.02.2024,"Bremen, "
56855,Schund & Asche,18.02.2024,"Hamburg, "
58449,Schund & Asche ,23.02.2024,"Karlsruhe, "
57420,Schund & Asche,24.02.2024,"Köln, "
62248,Schund & Asche ,25.02.2024,"Berlin, "
59050,Schund & Asche ,26.02.2024,"Dresden, "
61646,mein Italien,08.03.2024,"Regensburg, "
61564,mein Italien,09.03.2024,"Fürth, "
57659,mein Italien,15.03.2024,"Frankfurt, "
60667,mein Italien,16.03.2024,"Mainz, "
58130,mein Italien,19.03.2024,"Hannover, "
58129,mein Italien,23.03.2024,"Aachen, "
63635,mein Italien,24.03.2024,"Gelsenkirchen, "
58253,mein Italien,25.03.2024,"Essen, "
58235,mein Italien,13.04.2024,"Wuppertal, "
57920,mein Italien,14.04.2024,"München, "
58116,mein Italien,18.04.2024,"Düsseldorf, "
58331,mein Italien,19.04.2024,"Göttingen, "
58933,mein Italien,20.04.2024,"Erfurt, "
58111,mein Italien,21.04.2024,"Stuttgart, "
60644,mein Italien,22.04.2024,"Zürich, "
61032,mein Italien,23.04.2024,"Zürich, "
57941,mein Italien,29.04.2024,"Hamburg, "
58329,mein Italien,02.05.2024,"Berlin, "
62878,mein Italien,03.05.2024,"Berlin, "
63326,mein Italien,11.07.2024,"Kempten (Allgäu), "
63327,mein Italien,12.07.2024,"Passau, "
62774,mein Italien,12.09.2024,"Freiburg im Breisgau, "
59223,Schund & Asche ,13.09.2024,"Mannheim, "
56532,Schund & Asche,14.09.2024,"München, "
58267,Schund & Asche,15.09.2024,"Frankfurt, "
58990,Schund & Asche ,20.09.2024,"Stuttgart, "
58761,Schund & Asche ,21.09.2024,"Bochum, "
56892,Schund & Asche,22.09.2024,"Hannover, "
64477,mein Italien,04.10.2024,"Dresden, "
63825,mein Italien,05.10.2024,"Osnabrück, "
63406,mein Italien,12.10.2024,"Siegen, "
63165,mein Italien,13.10.2024,"Oberhausen, "
63900,mein Italien,24.10.2024,"Bremen, "
64353,mein Italien,25.10.2024,"Bonn/Siegburg, "
61779,mein Italien,06.11.2024,"Graz, "
61780,mein Italien,07.11.2024,"Linz AT, "
61781,mein Italien,09.11.2024,"Wien AT, "
64305,mein Italien - Aufzeichnung,14.11.2024,"München, "
64306,mein Italien - Aufzeichnung,15.11.2024,"München, "
64573,mein Italien,16.11.2024,"Jena, "
60407,mein Italien,21.11.2024,"Mannheim, "
64009,mein Italien,28.11.2024,"Saarbrücken, "
64010,mein Italien,29.11.2024,"Trier, "
